level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	518	666	-1	
2	1	1	0	0	0	463	60	12	471	-1	
3	1	1	1	0	0	463	60	12	471	-1	
4	1	1	1	1	0	463	60	12	471	-1	
5	1	1	1	1	1	454	56	28	31	25.374970	be
5	1	1	1	1	2	454	116	28	17	1.197701	i
5	1	1	1	1	3	454	146	28	25	30.354152	ee
5	1	1	1	1	4	454	188	28	18	0.000000	OO
5	1	1	1	1	5	454	221	28	27	19.536524	eel
5	1	1	1	1	6	454	282	28	38	38.682795	ee
5	1	1	1	1	7	454	356	28	36	41.106110	ee
5	1	1	1	1	8	454	410	28	17	21.634169	OO
5	1	1	1	1	9	463	464	12	67	15.070286	Dd
2	1	2	0	0	0	335	39	71	590	-1	
3	1	2	1	0	0	335	39	71	590	-1	
4	1	2	1	1	0	335	39	71	590	-1	
5	1	2	1	1	1	335	39	71	134	27.940397	CE
5	1	2	1	1	2	335	187	71	442	29.029007	Ee
2	1	3	0	0	0	187	113	71	367	-1	
3	1	3	1	0	0	187	113	71	367	-1	
4	1	3	1	1	0	187	113	71	367	-1	
5	1	3	1	1	1	159	113	103	91	26.987038	at
5	1	3	1	1	2	187	237	71	87	27.554526	Se
2	1	4	0	0	0	261	113	71	367	-1	
3	1	4	1	0	0	261	113	71	367	-1	
4	1	4	1	1	0	261	113	71	367	-1	
5	1	4	1	1	1	261	113	71	367	30.413799	Ce
2	1	5	0	0	0	113	113	71	367	-1	
3	1	5	1	0	0	113	113	71	367	-1	
4	1	5	1	1	0	113	113	71	367	-1	
5	1	5	1	1	1	113	113	71	367	27.163711	fe
5	1	5	1	1	2	85	254	103	44	50.396576	fe
5	1	5	1	1	3	85	323	103	53	30.804939	fe
5	1	5	1	1	4	85	400	103	79	20.706549	fe
2	1	6	0	0	0	39	483	293	71	-1	
3	1	6	1	0	0	39	483	293	71	-1	
4	1	6	1	1	0	39	483	293	71	-1	
5	1	6	1	1	1	39	483	293	71	69.770160	:
